routine_id	week_id	day_id	exercise_id	sequence_number	workout_routine	created_at	updated_at
100000	4	1	100002	3	S!*90%x5, 1RM*60%x8	5/11/2018 1:09:28 PM	5/11/2018 5:11:33 PM
100000	4	1	100004	5	85x8x2	5/11/2018 1:21:39 PM	5/11/2018 5:11:33 PM
100000	4	1	100007	1	S!*80%x8, S!*90%x8, 1RM*60%x8	5/10/2018 3:18:25 PM	5/11/2018 5:11:33 PM
100000	4	1	100010	4	S!*80%x8, S!*90%x8, 1RM*60%x8	5/10/2018 3:18:25 PM	5/11/2018 5:11:33 PM
100000	4	1	100014	14	45x12x3	5/11/2018 1:07:22 PM	5/11/2018 5:11:33 PM
100000	4	2	100001	7	S!*80%x8, S!*90%x8, 1RM*60%x8	5/10/2018 3:18:25 PM	5/11/2018 5:11:33 PM
100000	4	2	100003	9	25x8, 30x8	5/11/2018 1:10:38 PM	5/11/2018 5:11:33 PM
100000	4	2	100005	11	15x8x2	5/11/2018 1:11:01 PM	5/11/2018 5:11:33 PM
100000	4	2	100008	13	45x8, 55x8	5/11/2018 1:14:58 PM	5/11/2018 5:11:33 PM
100000	4	2	100009	8	S!*80%x8, S!*90%x8, 1RM*60%x8	5/10/2018 3:18:25 PM	5/11/2018 5:11:33 PM
100000	4	2	100011	10	15x8x2	5/11/2018 1:10:52 PM	5/11/2018 5:11:33 PM
100000	4	2	100012	12	65x8, 85x8	5/11/2018 1:14:46 PM	5/11/2018 5:11:33 PM
100000	4	2	100014	14	45x12x3	5/11/2018 1:07:49 PM	5/11/2018 5:11:33 PM
100001	1	1	100007	1	12RM, 9RM, 6RMx3	5/29/2018 9:20:54 PM	5/30/2018 3:19:47 PM
100001	1	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 3:19:47 PM
100001	2	1	100007	1	12RM, 9RM, 6RMx4	5/29/2018 9:20:54 PM	5/30/2018 3:51:29 PM
100001	2	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 1:13:05 AM
100001	3	1	100007	1	12RM, 9RM, 6RMx4	5/29/2018 9:20:54 PM	5/30/2018 3:51:31 PM
100001	3	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 1:13:05 AM
100001	4	1	100007	1	12RM, 9RM, 6RMx4	5/29/2018 9:20:54 PM	5/30/2018 3:51:31 PM
100001	4	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 1:13:05 AM
100001	5	1	100007	1	12RM, 9RM, 6RMx4	5/29/2018 9:20:54 PM	5/30/2018 3:51:31 PM
100001	5	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 1:13:05 AM
100001	6	1	100007	1	12RM, 9RM, 6RMx4	5/29/2018 9:20:54 PM	5/30/2018 3:51:31 PM
100001	6	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 1:13:05 AM
100001	7	1	100007	1	12RM, 9RM, 6RMx4	5/29/2018 9:20:54 PM	5/30/2018 3:51:31 PM
100001	7	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 1:13:05 AM
100001	8	1	100007	1	12RM, 9RM, 6RMx4	5/29/2018 9:20:54 PM	5/30/2018 3:51:31 PM
100001	8	3	100000	2	12RM, 9RM, 6RM	5/30/2018 1:07:40 AM	5/30/2018 1:13:05 AM
